Title																				,Podficcer,Author,Ship,Link
scared but reckless,Rionaa,Someone_aka_Me,Dracy Malfoy/Charlie Weasley,https://archiveofourown.org/collections/31172150
School Shopping,kitartpods,capsquared,Percy Weasley/Oliver Wood,https://archiveofourown.org/works/48728005
"Scorbus Arc: Part 1, Best Mates",picascribit,picascribit,Scorpius Malfoy/Albus Severus Potter,https://archiveofourown.org/works/7656883
"Scorbus Arc: Part 2, Hogsmeade Outing",picascribit,picascribit,Scorpius Malfoy/Albus Severus Potter,https://archiveofourown.org/works/7819576
"Scorbus Arc: Part 3, Protego Club ",picascribit,picascribit,Scorpius Malfoy/Albus Severus Potter,https://archiveofourown.org/works/8305979
"Scorbus Arc: Part 4, Albus Day",picascribit,picascribit,Scorpius Malfoy/Albus Severus Potter,https://archiveofourown.org/works/8798377
"Scorbus Arc: Part 5, No Distractions",picascribit,picascribit,Scorpius Malfoy/Albus Severus Potter,https://archiveofourown.org/works/7701757
"Scorbus Arc: Part 6, The Talk ",picascribit,picascribit,Scorpius Malfoy/Albus Severus Potter,https://archiveofourown.org/works/7803502
"Scorbus Arc: Part 7, Missing Pieces",picascribit,picascribit,Scorpius Malfoy/Albus Severus Potter,https://archiveofourown.org/works/7903405
"Scorbus Arc: Part 8, Merlin's Whiskers",picascribit,picascribit,Scorpius Malfoy/Albus Severus Potter,https://archiveofourown.org/works/11983902
Sealed With a Kiss,JocundaSykes,Faith Wood,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/39010452
Season Pass (to this Ass),Alistair_Reads_Nightly,mightbewriting,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/53651518
Season Pass (to this Ass),The Dramione Archives,mightbewriting,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0btjPhTRP80mxGuWeNAvh9?si=7cdc38d2eb5e4cb4
Second Spin,xinasvoice,xinasvoice,Sirius Black/Remus Lupin,https://archiveofourown.org/works/16338530/chapters/38225441
Secrets and Masks,AMP Audiobooks,Emerald_Slytherin,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/01ROajYp9i80snqYpxvqV9?si=f9ad5ec9f0294282
Secrets and Masks,Read It and Weep,Emerald_Slytherin,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0RlVbgx1nB5AQVU7fXDvBj?si=00b79e769d23423d
Secrets and Masks,Veelas Audiobooks,Emerald_Slytherin,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/2EVKAyG8xuB0pho95LD4KS?si=19a1d97ded824bd3
Sectumsempra,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/5n758pa8h9654JG0h61msC?si=TbYxPKZ3TtOBEhQtIp1BYQ
See something you like?,EllaMcSmellBella,Amarillis39 and MissMrah,Theodore Nott/Harry Potter,https://archiveofourown.org/works/39315801
Seeing Draco Malfoy,fire_juggler,khalulu ,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/5017129
Seeker Fit,The Dramione Archives,"elithean, senlinyu",Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0PDJKD6lDG79pih8o44YMj?si=2fdca54a271540ec
Seeker Fit,ETL_Echo_Audiobooks,Elithien and SenLinYu,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41138235
Seeker Fit,The Dramione Archives,Elithien and SenLinYu,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0PDJKD6lDG79pih8o44YMj?si=c85b362347da4c4f
Seeking: Draco Malfoy,seeking_semperfiona,ashiiblack,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/14030343
Sehnsucht,ETL_Echo_Audiobooks,ambpersand,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43756803
Sense Memory,picascribit,picascribit,Sirius Black/Remus Lupin,https://archiveofourown.org/works/2625116
Serpent at Law,RoastedOats,anonymousmagpie,Nagini & Harry Potter,https://archiveofourown.org/works/40574601
Serving Penance,JocundaSykes,JocundaSykes,Harry Potter/Severus Snape,https://archiveofourown.org/works/24003127
Sesame Seeds and the Entire Spectrum of Human Emotion,ETL_Echo_Audiobooks,ronbinary ,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/45773455
Seventh Horcrux,Sam Gabriel,EmeraldAshes,"Harry Potter/Ginny Weasley, Hermione Granger/Ron Weasley",https://open.spotify.com/episode/5K1O1WNAeQZX8yuMf9I6g9?si=c1ebfe58fcd64cb2
Sex and the Art of Castle Maintenance,ETL_Echo_Audiobooks,birdsofshore,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/48798391
Sex on Legs in Six-Inch Heels,seeking_semperfiona,Tessa Crowley,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/3708577
Shades of Dawn,lumosauxnight,corvuscrowned,Lavender Brown/Ginny Weasley,https://archiveofourown.org/works/41716425
"Shall we decend once more, my Hades",smirkingcat,megyal,Draco Malfoy/Severus Snape,https://archiveofourown.org/works/24424783
Shampoo,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/1YiaWlpPzLMggDipLL74yt?si=6UHYnHdxSHShUpQkVCRJKQ
Shattered,fire_juggler,Femme,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/2322140
Shelf Control,ETL_Echo_Audiobooks,IN_Dreams,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/47475829
Shelved and Stoppered,JocundaSykes,peasina,Harry Potter/Severus Snape,https://archiveofourown.org/works/36225322
Ship of Theseus,sweaters_in_the_summer,GallaPlacidia,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41446698
Ship of Theseus,sweaters_in_the_summer,GallaPlacidia,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41446698
Shirt-Lifter,picascribit,picascribit,Sirius Black/Remus Lupin,https://archiveofourown.org/works/926916
Shooting Star,EllaMcSmellBella,Musyc,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43407658
Silver lime and Thestral hair,ETL_Echo_Audiobooks,gnarf,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50322067
Sine Qua Non,JocundaSykes,dracofiend,Harry Potter/Severus Snape,https://archiveofourown.org/works/23931601
Sing for you in the dead of night,"Klari, Pods and Filks by (SerenaEW), SerenaEW",Klari,Harry Potter/Severus Snape,https://archiveofourown.org/works/44105337
Sing My Song (For You),Cailynwrites,TheseLittleWonders,Scorpius Malfoy/Rose Weasley,https://archiveofourown.org/works/52004479
Sirimione | Day 10,EllaMcSmellBella,Dragongoddess13,Sirius Black/Hermione Granger,https://archiveofourown.org/works/41781213
sirius & his very good friend - TTS,BurningAurora,fruity_individual,Sirius Black/Remus Lupin,https://archiveofourown.org/works/45435139
"Sirius Black, Matchmaker Extraordinaire",peaceinpanem,peaceinpanem,Sirius Black/Remus Lupin,https://archiveofourown.org/works/48264766
Skirt Full of Thorns,fire_juggler,cevennes ,Luna Lovegood/Ginny Weasley,https://archiveofourown.org/works/8084920
Slithering,lazulus,astolat,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/7694998
"Slow Grenade: Part 1, I Like Me Better",EllaMcSmellBella,LeilahMoon,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/75EZJ0xxrpCPdeR37sWIa4?si=ebbc6ca7a95d44f3
"Slow Grenade: Part 2, This Feeling",EllaMcSmellBella,LeilahMoon,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0n4QJVsrgBdEAxyLPVyNMX?si=9c8a470bdc544d94
"Slow Grenade: Part 3, Going Down Fighting",EllaMcSmellBella,LeilahMoon,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0pfaGWiOqARL0z3JWM7QOi?si=a4ec9f97b1634709
Slowly Toward Desire,ETL_Echo_Audiobooks,Phlox,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41368188
"Slytherins Respect Power, Correct?",Heartless Podfics,ATiredAndDeadWriter,Harry Potter/Tom Riddle,https://open.spotify.com/episode/6UVCCKoIE6tPyX1Zsaug5X?si=309b23f3b8384294
Small Changes,smirkingcat,TheMightyFlynn,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/21476173
Snape and the Malfoys,JocundaSykes,drinkingcocoa,Severus Snape,https://archiveofourown.org/works/33644173
snapshots,Cailynwrites,kitsunerei88,Percy Weasley/Oliver Wood,https://archiveofourown.org/works/52416937
Snow Fall,ETL_Echo_Audiobooks,senlinyu,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41137668
Snowdeer Charms and Concussions,ETL_Echo_Audiobooks,ArielSakura,Harry Potter/Tom Riddle,https://archiveofourown.org/works/51958093
Snowdrifts,ETL_Echo_Audiobooks,In_Dreams ,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/51957877
Snowfall,EllaMcSmellBella,SenLinYu,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/2YB9kTlk4rIEIJ1x3UefKq?si=7d722f003ac546a9
Snowflakes and Cashmere,fire_juggler,Veritas03,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/309348
"so cold, without you to hold",JocundaSykes,HogwartsToAlexandria,Kingsley Shacklebolt/Severus Snape,https://archiveofourown.org/works/36297337
So Sane It's Driving Me Crazy,fire_juggler,Tryslora,Marcus Flint/Percy Weasley,https://archiveofourown.org/works/7504903
Sock Snowmen,ETL_Echo_Audiobooks,emeraldlove,Harry Potter/Severus Snape,https://archiveofourown.org/works/51957925
Soft As It Began,The Dramione Archives,rubber_soul02,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/2us927eJlTkjOelR0r87KW?si=de9700b2642f4fb9
Something About the Muggle Way,ETL_Echo_Audiobooks,ArielSakura,Draco Malfoy/Charlie Weasley,https://archiveofourown.org/works/43313182
Something I’ll Never Have,JocundaSykes,homicidal_pudding,Harry Potter/Severus Snape,https://archiveofourown.org/works/27712838
Something to Squeal About,sophinisba,Amanuensis ,Cho Chang/Luna Lovegood,https://archiveofourown.org/works/9930272
Son and Heir,picascribit,picascribit,Lucius Malfoy/Narcissa Black Malfoy,https://archiveofourown.org/works/935688
Sorry It Took Me So Long,Cailynwrites,ArielSakura,Luna Lovegood/Harry Potter,https://archiveofourown.org/works/51958192
Sorting Out Their Priorities,seeking_semperfiona,sassy_cissa,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/21322825
Soulmate Flowers,JocundaSykes,Lilian,Harry Potter/Severus Snape,https://archiveofourown.org/works/25054021
Sowing Seeds (of health and hope),fire_juggler,katmarajade,Millicent Bulstrode/Hermione Granger,https://archiveofourown.org/works/2322032
Splits - TTS,BurningAurora,aqua_myosotis,Sirius Black/Remus Lupin,https://archiveofourown.org/works/46571734
Spooked in Salem,EllaMcSmellBella,xanthippe74,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51169315
Stag,ETL_Echo_Audiobooks,Stag,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/42396270
Stars and Scars,ETL_Echo_Audiobooks,Aneiria,Hermione Granger/Draco Malfoy/Harry Potter,https://archiveofourown.org/works/40896747
Starting Again,micha_making_podfics,tamerofdarkstars,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/1pBgj31YASjNXbLooVcvdb?si=4e6817a81c4946df
"Statement of Neville Longbottom, File No. 1998/05-2395","Alley_Skywalker, kitartpods (kitsunerei88), peasina",kitsunerei88,Neville Longbottom,https://archiveofourown.org/works/49141465
Stay,Cailynwrites,vendettadays,Hermione Granger/Pansy Parkinson,https://archiveofourown.org/works/38355952/chapters/95845636
Stealing Harry,RevolutionaryJo,copperbadge,Sirius Black/Remus Lupin,https://archiveofourown.org/works/241689
Still,reveriepi,alexmeg,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/46519570
Stolen Years Lost,"podfic_lover, Pods and Filks by (SerenaEW), robinfaipods (Robin_Fai), thriceandonce (sylvaine)",BinteMuhammad,Harry Potter/Severus Snape,https://archiveofourown.org/works/50861110
stood a little while within it,ETL_Echo_Audiobooks,tasteofshapes,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/43521852
Stopping by the Messiah on a Snowy Evening,seeking_semperfiona,burglebezzlement,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/16280588
Storm In a Teacup,micha_making_podfics,Faith Wood,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/6n4lqyBzYc8wXOP7z72zNf?si=f0a2ea2462224231
Strange Birds,EllaMcSmellBella,HeyJude19,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43341369
Stray Dogs - TTS,BurningAurora,MsAlexWP,Sirius Black/Remus Lupin,https://open.spotify.com/episode/4ZbIAm5fUTLMvFEoi8btUT?si=460034999e7140a5
Stray Dogs: Happily Ever After Scrapbook - TTS,BurningAurora,MsAlexWP,Sirius Black/Remus Lupin,https://archiveofourown.org/works/43900084
Stubborn as a Cursed Vault,wilfriede0815,OTPshipper98,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51770653
"Sugar Flurries, Candy Storms",ETL_Echo_Audiobooks,mightbewriting,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41137911
Summer Nights,ETL_Echo_Audiobooks,frumpologist,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41935863
Sunshine & Tomatoes,TheseLittleWonders,Colubrina,Luna Lovegood/Theodore Nott,https://archiveofourown.org/works/42405165
Super Nature TTS,BurningAurora,five_ht,Sirius Black/Remus Lupin,https://open.spotify.com/episode/1LOociTT0ZaXFy1ZrYIobu?si=c0f69a86629d4f6c
Surfacing,JocundaSykes,Avioleta,Harry Potter/Severus Snape,https://archiveofourown.org/works/38212093
Surprise,wilfriede0815,gracerene,Angelina Johnson/Alicia Spinnet,https://archiveofourown.org/works/47179654
Surrender,Pods and Filks,SerenaEW,Harry Potter/Severus Snape,https://archiveofourown.org/works/49345684/chapters/124520983
Surrender - TTS,BurningAurora,Kca1516,Sirius Black/Remus Lupin,https://open.spotify.com/episode/6i3w56Lv9IO1OrO1GRfqUv?si=b141bf640ded471e
survival is a talent,Flowerparrish Pods,ShanaStoryteller,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/46208491/chapters/116332000
"Survivor's Guilt: Part 4, Fail-Safe",picascribit,picascribit,Sirius Black/Remus Lupin,https://archiveofourown.org/works/968400
"Survivor's Guilt: Part 5, Against the Wall",picascribit,picascribit,Sirius Black/Remus Lupin,https://archiveofourown.org/works/968557
"Survivor's Guilt: Part 6, My Dearest Moony",picascribit,picascribit,Sirius Black/Remus Lupin,https://archiveofourown.org/works/968934
Sweater Weather,Ashata,lumosinlove,Sirius Black/Remus Lupin,https://open.spotify.com/episode/3z55ucQxcAjkdKrfNlUFFz?si=d4d9603482984c91
Sweaters and Bonfires | Day 4,EllaMcSmellBella,Dragongoddess13,Hermione Granger/Charlie Weasley,https://archiveofourown.org/works/41781105
sweet above compare,Amanita_Fierce,KeeperofSeeds,Luna Lovegood/Ginny Weasley,https://archiveofourown.org/works/28571991
Switch,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41138709
Sympathy for the Devil,fire_juggler,Writcraft,Scorpius Malfoy/Harry Potter,https://archiveofourown.org/works/309664
Tailor-Made,The Dramione Archives,thebrightcity,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/3cMsK9x3xTsAC9xVSbZ0nz?si=f3ec4a9ea80947ab
Tailor-Made,The Dramione Archives,thebrightcity,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/3vjFKR2A4ZDeVRixo9jvkr?si=83029f3eddb44cd7
Take This Longing,picascribit,picascribit,Sirius Black/Remus Lupin,https://archiveofourown.org/works/936630
Talk To Me,seeking_semperfiona,Sarahs_Girll,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/21342136
Taste Like Hersheys,Heartless Podfics,youaredespicable,Harry Potter/Tom Riddle,https://open.spotify.com/episode/3r7ltRx2mODcCK7ceKvuEq?si=415a18ab459d4a81
Taste of Affection,ETL_Echo_Audiobooks,dreamsofdramione,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/42549822
Tea and Necromancy,The Lion and Snake Productions,saveourskinship,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0HE4AH47mJsfe41sydRmoP?si=c1314d14faf046b8
Tea and No Sympathy,ETL_Echo_Audiobooks,who_la_loop,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/40897758
Teddy Lupin and the Moonlight Killer,SoreThroatRecords,SamFParker,Hermione Granger/Teddy Lupin,https://archiveofourown.org/works/51774295/chapters/130894060
Teenage Wasteland,Gallapod,Gallapod,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/57Ges7vmzS0LRARYOMHiDS?si=9f3e2d32e1bb487d
Teeth,ETL_Echo_Audiobooks,Teeth,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/40894521
Tell Him,ETL_Echo_Audiobooks,tryslora,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/42900240
Temptation Waits,ETL_Echo_Audiobooks,Aneiria,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/42285840
Ten Months,ETL_Echo_Audiobooks,grace_lou_freebush,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41116008
"Ten Years, and His Whole Life",seeking_semperfiona,bixgirl1,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/16494392
"Tender Curiosities, Baby!",peaceinpanem,otrtbs,Barty Crouch Jr./Evan Rosier,https://archiveofourown.org/works/50373040/chapters/127265338
"Thameslink, the 07:29",TheseLittleWonders,sweet_s0rr0w,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41879274
Thanks To The Photographs,SEP FanFic Readings,unstablehufflepuff,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/54014362
That Mouth Was Made For Sitting,ETL_Echo_Audiobooks,ambpersand,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/38174017
That Old Black Magic,reveriepi,bixgirl1,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/46898758/chapters/118135717
That Place in the Dark,xan_reads,Dementordelta,Harry Potter/Severus Snape,https://archiveofourown.org/works/18133607/chapters/42874952
that softness which i hold so close and dear,This_Time,genderselkie,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/29037561
That Touch of Pink,EllaMcSmellBella,peachpety,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50385328
That's Some Catch!,EllaMcSmellBella,"Amarillis39, MissMrah",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/39665262
"The ""Sweetest, Kindest Person""",Flowerparrish Pods,KittyCargo,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44090097
The (Third) Worst Year,EllaMcSmellBella,TheFrancakes,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41725059/chapters/104672550
The Adults Guide to Stopping a Wedding,peaceinpanem,peaceinpanem,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/49083463
The Adventures of Captain Sirius Black and His Most Excellent Dragon Padfoot - TTS,BurningAurora,OptimisticDinosaur,Sirius Black/Remus Lupin,https://open.spotify.com/episode/6UwmhM2eIXjQcjJRlDkSXt?si=b8f477f4dbea466f
The Angel Investor,seeking_semperfiona,stgulik ,Hermione Granger/Severus Snape,https://archiveofourown.org/works/3893101
The Anniversary Quilt,Cailynwrites,doshu,Minerva McGonagall/Poppy Pomfrey,https://archiveofourown.org/works/54058441
The Art of Seating Etiquette,ETL_Echo_Audiobooks,inadaze22,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41116086
The Art of Seduction: Kidnapping and Hypothermia,ETL_Echo_Audiobooks,ChaosAndCrumpets,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/49837873
The Art of Thank You Notes,fictionclaw,fictionclaw,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/21DxG8jm2uli3L8xlMsZwh?si=6e175787400e4fff
The Art of the Pour - A Pureblood Guide to High Tea,The Black Sparrow Podfic,TheIdeaOfSarcasm,Regulus Black/James Potter,https://open.spotify.com/episode/1RveBXYdZNd3aTIE097w8n?si=9f76f3fee13142a8
The Auror Who Cried (Were)Wolf,EllaMcSmellBella,ChaosAndCrumpets,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/50141968
The Beauty of Trees,fire_juggler,megyal,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/5017207
The Beginning or Middlish Part of a Harry Potter Publishing AU,reena_jenkins,lalejandra,Hermione Granger,https://archiveofourown.org/works/13812525
"the billboard says ""the end is near""",Dramione Podfics,,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/5EV4yCgv4xMCqkT1R2lcmX?si=e55fd0025dea4d26
The Black Cat of Good Fortune,fire_juggler,Kitty_Fic,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/309303
The Black Retreat,seeking_semperfiona,sesheta_66,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/18860074
The Black Sparrow,TheIdeaOfSarcasm,TheIdeaOfSarcasm,Regulus Black/James Potter,https://open.spotify.com/episode/3PmUNLkMB1QYhFAKqQI9Ig?si=d8dd3a5993e74b04
The Boggart,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/4mlbO3kcEvmTZ2Mz3Qn1GR?si=wnfTy-BYSkuOm3e8KRBSfA
The Bolthole,Gallapod,Gallapod,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/6CtZmMUK2vaf2U3cwpTGXo?si=26ac95ce8d394124
The Bookworm and the Ferret,Missy Hunt,abro5,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/2QV48cm2Egy2kWXR3UHZId?si=1adf6bbc9cc64b63
The Boy Who Died a Lot,JocundaSykes,starcrossedgirl,Harry Potter/Severus Snape,https://archiveofourown.org/works/25246474
The Boy Who Died A Lot,JocundaSykes,starcrossedgirl,Harry Potter/Severus Snape,https://archiveofourown.org/works/25246474
The Brightest Constellations of Our Souls,peaceinpanem,thecouchsofa,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52704226/chapters/133310692
The Bucket List,Gallapod,Gallapod,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/2tOInvLFfOV41ySMSoj0r3?si=8bc7bc30610447f7
The Cadence of Part Time Poets,SiriuslyReading,motswolo,Sirius Black/Remus Lupin,https://open.spotify.com/show/0s3RPWW1ms9q88gpBZzR0w?si=076dbaa644884810
The Call of Sweet Things,"Cailynwrites, CelilasPodfics (LLAP115), Eleanor_Elizabeth, HelloCheshire, jc647, kitartpods (kitsunerei88), LauDH8, Melcarrianna, millennialgrandma, PhenomenalAsterisk, philowriting, Podfic by (Thunder_of_Dragons), Rambling_Company, read by (ashata), read by (horchatapods), Rhyebony, roseszain multivoices (roseszain), SassySaori, sweaters_in_the_summer, TheseLittleWonders, uncanny_cerulean, with (bluedreaming), with (Literarion)",softlystarstruck,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51950356/chapters/131368627
The Call of Sweet Things,"Cailynwrites, CelilasPodfics (LLAP115), Eleanor_Elizabeth, HelloCheshire, jc647, kitartpods (kitsunerei88), LauDH8, Melcarrianna, millennialgrandma, PhenomenalAsterisk, philowriting, Podfic by (Thunder_of_Dragons), Rambling_Company, read by (ashata), read by (horchatapods), Rhyebony, roseszain multivoices (roseszain), SassySaori, sweaters_in_the_summer, TheseLittleWonders, uncanny_cerulean, with (bluedreaming), with (Literarion)",softlystarstruck,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51950356/chapters/131368627
The Cat With The Stars in Her Eyes,Cailynwrites,majesticduxk,Luna Lovegood,https://archiveofourown.org/works/10349880
The Changeling,RoastedOats,anonymousmagpie,Theodore Nott & Harry Potter,https://archiveofourown.org/works/48240760/chapters/121657414
The Chase,The Dramione Archives,CaityBell,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/7bFvOQ8y0MuYIPXtbvJws1?si=c345dd7143f94bb6
The Christmas Candle,inmyownlittle_podfic_corner,LookAnotherNote,Millicent Bulstrode/Pansy Parkinson,https://archiveofourown.org/works/45175081
The Claiming of Grimmauld Place,EllaMcSmellBella,bixgirl1,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/48221269/chapters/121605064
the colour of snow,seeking_semperfiona,Ischa ,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/13356504
The Commoners Guide to Bedding a Royal,Gabi's Corner,olivieblake,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/6aY7UDbEeiNioN4nY0jQqB?si=7e65be2dd54948be
The Dare,peaceinpanem,peaceinpanem,Regulus Black/James Potter,https://archiveofourown.org/works/48504115
The Dawn Will Come,JocundaSykes,QuickSilverFox3,"Alastor ""Mad-Eye"" Moody/Kingsley Shacklebolt",https://archiveofourown.org/works/44097972
The Debt of Time,Beatificbean,ShayaLonnie,Sirius Black/Hermione Granger,https://archiveofourown.org/works/51376570
The Diary of Regulus Black,picascribit,picascribit,Regulus Black/Severus Snape,https://archiveofourown.org/works/930053/chapters/1809305
The Disappearances of Draco Malfoy,ETL_Echo_Audiobooks,speechwriter,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/44791843
The Disappearing Act,inmyownlittle_podfic_corner,IzzieStellar,Hermione Granger/Ginny Weasley,https://archiveofourown.org/works/45154933
The Dog's Dilemma,EllaMcSmellBella,Dragongoddess13,Sirius Black/Hermione Granger,https://archiveofourown.org/works/41828085
The Dogfather,Cailynwrites,hollimichele,Sirius Black/Remus Lupin,https://archiveofourown.org/works/52855945
"the dogfather au: Part 1, the dogfather",Cailynwrites,hollimichele,Sirius Black/Remus Lupin,https://archiveofourown.org/works/52855945
"the dogfather au: Part 2, the black dog",Cailynwrites,hollimichele,Sirius Black/Remus Lupin,https://archiveofourown.org/works/53663971
The Dogfather: The Black Dog,Cailynwrites,hollimichele,Sirius Black/Remus Lupin,https://archiveofourown.org/works/53663971
The Dreaming Spires,JocundaSykes,Dementordelta,Harry Potter/Severus Snape,https://archiveofourown.org/works/26823643
The Dreaming Spires,JocundaSykes,Dementordelta,Harry Potter/Severus Snape,https://archiveofourown.org/works/26823643
The Dumbing Down of Love,ETL_Echo_Audiobooks,inadaze22,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/44440984
The Dursleys' Worst Nightmare,picascribit,picascribit,Cho Chang/Dudley Dursley,https://archiveofourown.org/works/945805
The Enchanted Forest,ETL_Echo_Audiobooks,xslytherclawx,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52416967
The Fall - TTS,BurningAurora,EuripidesTrousers ,Sirius Black/Remus Lupin,https://open.spotify.com/episode/6qHdEQ5ncMORPAsUgBt6Fk?si=22692c9f8cec402f
The Fallout,ETL_Echo_Audiobooks,everythursday,Hermione Granger/Draco Malfoy,https://drive.google.com/drive/folders/1yu4DknY7bPmkTNwTm9mJvIfvmYfVCg96
The Favour,RoastedOats,anonymousmagpie,Barty Crouch Jr./Harry Potter,https://archiveofourown.org/works/45178687
the first kiss,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41138352
The Fish,JocundaSykes,jjtaylor,Kingsley Shacklebolt,https://archiveofourown.org/works/36129262
The Foul,RoastedOats,merrivale,Harry Potter,https://archiveofourown.org/works/48475123
the frenemies' guide to beekeeping,wilfriede0815,porcelainheart3,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51769984
The Full Monty,micha_making_podfics,magpie_fngrl,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/37wUeKfd3MKTmpx47AcQEI?si=349dc7ff954a4100
The Full Monty,sweaters_in_the_summer,magpie_fngrl,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/47444920
The Games We Play,seeking_semperfiona,gracerene,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/16565951
